id;isbn;titulo;assunto;editora;capa;capa_content_type;numero_paginas;tombo;copies
1;JSON red copy;bandwidth encryption;Future;Hill;../fake-data/blob/hipster.png;image/png;80808;64860;20673
2;blue Officer;website Networked motivating;e-services invoice Grocery;Networked access Virtual;../fake-data/blob/hipster.png;image/png;72714;91753;1585
3;Agent;Clothing Director Motorway;Cambridgeshire;Gloves synthesize;../fake-data/blob/hipster.png;image/png;76242;16490;49022
4;Home Loan Acc;Beauty;Brunei Darussalam programming;Engineer;../fake-data/blob/hipster.png;image/png;84200;50529;24467
5;benchmark pro;parsing plum;Central;payment;../fake-data/blob/hipster.png;image/png;92878;34868;76736
6;Fresh process;quantify connecting Concrete;primary magenta;Wyoming parse port;../fake-data/blob/hipster.png;image/png;97448;77213;77494
7;Credit Card A;complexity European Unit of Account 9(E.U.A.-9);programming;Dam Buckinghamshire;../fake-data/blob/hipster.png;image/png;55319;33325;71712
8;hard drive Ta;Awesome;Assistant Mouse;Cayman Islands Dollar communities Organic;../fake-data/blob/hipster.png;image/png;4282;92776;85898
9;infrastructur;generating payment Seychelles;24/7;SASX;../fake-data/blob/hipster.png;image/png;42309;52302;3558
10;zero toleranc;Interactions Loop;syndicate Kansas calculate;incremental bus;../fake-data/blob/hipster.png;image/png;67615;16287;26637
